dispute_id,transaction_id,customer_id,merchant_id,dispute_date,dispute_reason,disputed_amount,dispute_status,evidence_submitted,chargeback_fee_usd,resolution_date,liability_assigned
DSP200000,TX106378,C74789,M4349,2026-05-21,Credit Not Processed,763.57,Chargeback Reversed,1,50.0,2026-06-30,Payment Processor
DSP200001,TX113063,C76162,M8489,2025-09-23,Subscription Cancelled,31.49,Under Review,1,35.0,,Pending
DSP200002,TX107681,C22676,M7022,2025-12-20,Item Not Received,1733.55,Chargeback Reversed,1,15.0,2025-12-29,Merchant
DSP200003,TX109805,C84593,M8204,2025-07-01,Friendly Fraud / Unrecognized,939.37,Won - Customer,1,35.0,2025-08-27,Merchant
DSP200004,TX112629,C23979,M7636,2025-05-25,Subscription Cancelled,1090.06,Won - Customer,1,25.0,2025-07-16,Merchant
DSP200005,TX254201,C91265,M8111,2026-01-01,Friendly Fraud / Unrecognized,908.93,Won - Merchant,1,15.0,2026-02-20,Cardholder
DSP200006,TX102607,C49608,M2108,2025-10-08,Item Not Received,539.21,Arbitration,1,15.0,2025-11-08,Cardholder
DSP200007,TX113803,C46655,M1618,2026-03-28,Fraudulent Transaction,1850.92,Under Review,0,15.0,,Pending
DSP200008,TX108839,C99166,M2502,2025-04-17,Friendly Fraud / Unrecognized,1676.02,Pending Evidence,0,35.0,,Pending
DSP200009,TX100485,C68529,M3473,2025-11-03,Subscription Cancelled,51.36,Chargeback Reversed,0,35.0,2025-11-15,Cardholder
DSP200010,TX106963,C96673,M3112,2025-06-22,Fraudulent Transaction,1163.14,Won - Merchant,1,15.0,2025-08-07,Cardholder
DSP200011,TX105526,C83060,M7229,2025-12-16,Friendly Fraud / Unrecognized,983.29,Won - Customer,1,50.0,2026-01-10,Merchant
DSP200012,TX107338,C91560,M4176,2026-03-10,Fraudulent Transaction,1940.4,Pending Evidence,0,35.0,,Pending
DSP200013,TX252847,C90108,M5919,2025-03-09,Product Defective / Unacceptable,929.41,Won - Merchant,1,20.0,2025-04-18,Cardholder
