transaction_id,customer_id,merchant_id,transaction_amount,card_type,transaction_status,device_type,account_age_months,transaction_date,region,is_fraud
TX109326,C55082,M3549,607.78,Visa,Reversed,Mobile,8,2026-02-17 08:28:57,North,0
TX106376,C76616,M3068,1819.11,Visa,Pending,POS,28,03-Jan-2025,West,1
TX103301,C65296,M3352,64.08,Visa,Completed,Mobile,91,20-Dec-2025,East,0
TX110701,C42098,M5807,1025.73,Amex,Completed,Desktop,50,2026-02-06 03:39:02,East,0
TX103284,C97782,M7560,772.74,Discover,Failed,POS,5,2025-01-07 00:23:37,North,0
TX104210,C59823,M7553,198.47,Discover,Failed,Desktop,51,13-Jul-2025,South,0
TX106427,C77715,M4950,217.23,Discover,Reversed,ATM,6,2025-04-10 07:09:29,East,0
TX104105,C81643,M6736,1070.66,Amex,Completed,ATM,55,11-01-2025,West,0
TX114893,C68878,M8138,NaN,Discover,Failed,Mobile,64,09-27-2025,West,0
TX114584,C98117,M7272,1320.66,Discover,Pending,Mobile,114,11-Aug-2025,West,0
TX114232,C30758,M1269,584.21,MasterCard,Reversed,ATM,92,2025-05-15 08:50:48,North,0
TX114810,C86622,M8601,1347.73,Visa,Reversed,POS,44,09-11-2025,North,0
TX104251,C23710,M6968,529.53,Discover,Completed,Desktop,27,26/10/2025,East,0
TX106158,C56179,M2264,1668.79,Amex,Failed,POS,105,14-May-2026,West,0
TX106581,C37659,M4871,351.85,Visa,Completed,Mobile,6,2025-04-25,East,0
TX103144,C58944,M7347,757.5,Amex,Completed,Mobile,91,08-Jun-2025,East,0
TX100277,C65302,M8259,686.02,Visa,Failed,Desktop,42,03-03-2026,West,0
TX110932,C73483,M9725,89.06,Visa,Reversed,ATM,44,2025-12-11 02:49:37,North,0
TX111101,C41830,M1333,1998.8,MasterCard,Reversed,Desktop,81,12-29-2025,West,1
TX107785,C31178,M4630,1806.44,Visa,Reversed,POS,23,12/10/2025,North,1
TX112963,C49321,M4941,198.96,Discover,Completed,ATM,74,01-25-2025,North,0
TX105578,C85470,M2623,462.64,Amex,Failed,Mobile,76,2026-04-19 11:14:10,North,0
TX100579,C10074,M2275,1520.55,Discover,Failed,ATM,42,03/09/2025,East,0
TX107503,C66881,M2337,144.11,Visa,Reversed,ATM,8,15-Jan-2026,South,0
TX103097,C54118,M9749,982.73,Amex,Reversed,POS,108,2025-10-16 16:58:32,East,0
TX102389,C44522,M8612,91.22,Amex,Failed,Desktop,77,2025-02-11 08:22:29,South,0
TX109810,C25396,M8159,1916.91,Discover,Reversed,Mobile,92,04/12/2025, North ,1
TX106919,C82667,M1616,1219.11,Amex,Completed,POS,5,07-12-2025,South,0
TX103415,C99873,M3538,483.92,Amex,Pending,ATM,111,10/03/2026,South,0
TX112163,C34356,M1100,809.25,Visa,Completed,POS,86,16-Nov-2025,South,0
TX113708,C12719,M3147,1911.12,MasterCard,Pending,POS,106,13/04/2025,North,1
TX108564,C91439,M9618,508.55,Discover,Completed,ATM,120,04-04-2025,East,0
TX109183,C63545,M7326,NaN,Amex,Pending,ATM,94,08-Jan-2025,North,0
TX101929,C62581,M9410,1533.75,Discover,Completed,Mobile,102,2025-11-21 01:17:00,East,1
TX111627,C41266,M8682,307.78,Discover,Failed,POS,31,10/10/2025,West,0
TX107489,C27786,M9749,727.69,Visa,Failed,ATM,29,11-Jan-2026,North,0
TX113670,C20589,M1920,50.59,Visa,Completed,Desktop,71,2025-02-03,South,0
TX106097,C70515,M3730,67.29,Discover,Failed,Desktop,29,2025-07-18,East,0
TX101711,C22978,M9355,1113.56,Discover,Pending,Desktop,70,19/01/2025,North,0
TX103777,C37235,M1693,307.21,Discover,Completed,POS,44,07-28-2025,West,0
TX109516,C68008,M7340,386.66,Discover,Failed,ATM,119,23/11/2025,East,0
TX105482,C49893,M8368,1243.7,MasterCard,Failed,Mobile,96,28/07/2025,South,0
TX102823,C31747,M7955,44.32,Visa,Failed,POS,97,2025-10-07 09:04:23,West,0
TX104443,C79615,M4509,40.2,Visa,Pending,POS,111,2025-11-17 13:42:03,South,0
TX113354,C71953,M4302,1242.54,Amex,Pending,POS,32,16-Jan-2026,West,0
TX103857,C61856,M7062,96.06,MasterCard,Pending,Desktop,113,2025-06-22 12:32:10,North,0
TX107194,C55870,M2234,88.28,Discover,Pending,Mobile,65,12-Mar-2025,North,1
TX101947,C60328,M1641,807.83,Visa,Reversed,Mobile,24,08-Nov-2025,north,0
TX109938,C30028,M3399,1633.29,MasterCard,Completed,Desktop,78,2025-03-13,East,0
TX113996,C92719,M4891,NaN,MasterCard,Failed,Desktop,47,01-31-2025,West,0
TX102996,C87812,M4862,808.71,MasterCard,Pending,Mobile,34,05-08-2025,North,0
TX110503,C83579,M4906,NaN,Discover,Failed,Mobile,66,2026-02-01 21:16:42,West,0
TX107163,C27224,M5128,1150.53,Discover,Reversed,ATM,41,27/01/2025,West,0
TX112760,C24662,M4637,23.1,Discover,Completed,POS,3,07-06-2025,East,0
TX102708,C69638,M3253,224.65,Discover,Failed,POS,74,24-Apr-2026,South,0
TX105905,C85243,M2623,9.39,Visa,Completed,Desktop,27,2025-02-10 07:28:37,North,1
TX106894,C15224,M4302,1722.78,Discover,Pending,POS,49,2025-08-27 22:25:47,East,0
TX111029,C23446,M1125,1037.42,Discover,Completed,ATM,66,2025-08-01,East,0
TX104447,C22363,M5089,1054.99,Visa,Pending,Mobile,96,2025-01-02,North,0
TX103124,C81426,M3267,1315.32,Amex,Reversed,ATM,86,18/05/2025,West,0
TX102230,C10350,M2695,349.06,Amex,Reversed,Desktop,93,2026-02-21 17:54:41,South,0
TX112220,C81066,M8242,296.17,Visa,Reversed,ATM,2,25-May-2025,East,0
TX106154,C54548,M5703,997.51,Amex,Failed,ATM,26,23-Jan-2025,West,0
TX109653,C87993,M3324,501.61,MasterCard,Failed,Desktop,57,19/05/2025,East,0
TX112702,C41979,M1782,170.25,Visa,Reversed,Desktop,4,06-12-2025,South,0
TX111012,C13365,M7697,NaN,Visa,Pending,Mobile,1,2025-06-03 02:54:14,North,0
TX103407,C22219,M6062,1458.18,MasterCard,Pending,POS,86,19/09/2025,South,0
TX110097,C82309,M1086,1917.88,Visa,Reversed,Mobile,18,04-23-2025,North,0
TX108621,C89516,M8840,320.06,Discover,Pending,ATM,28,2025-12-21 07:14:19,East,0
TX103954,C64548,M5668,580.67,Discover,Failed,Desktop,120,2026-05-06 02:35:05,West,0
TX107007,C52992,M8684,1880.87,MasterCard,Completed,ATM,36,2026-05-12 06:11:35,South,1
TX113399,C34878,M9749,951.29,Discover,Completed,ATM,36,12-20-2025,South,0
TX112983,C43386,M9151,1665.46,Visa,Pending,Mobile,64,09-02-2025,West,0
TX114003,C99364,M6372,1715.51,Discover,Completed,Desktop,103,2025-08-04 04:03:13,North,0
TX114050,C38534,M9507,1938.76,Visa,Failed,POS,101,10-Apr-2026,South,1
TX113353,C39817,M9444,792.15,Visa,Reversed,Mobile,29,04/05/2026, West ,0
TX102289,C72402,M4866,1835.39,Discover,Reversed,Mobile,15,07-22-2025,West,1
TX105512,C94518,M1125,1977.89,Visa,Failed,Desktop,7,11-08-2025,East,1
TX106296,C17972,M8432,653.59,Amex,Failed,ATM,1,2025-08-09 10:35:35,East,0
TX106080,C37742,M4678,1120.94,Discover,Pending,POS,67,04-05-2026,North,0
TX107114,C39045,M4711,1728.32,MasterCard,Pending,Desktop,29,2025-10-22,West,0
TX112040,C69245,M2293,NaN,Discover,Failed,ATM,108,2025-01-04 00:10:19,South,0
TX100799,C77715,M5476,320.1,MasterCard,Pending,POS,83,01-Nov-2025,South,0
TX105399,C99241,M7026,637.03,Amex,Reversed,Mobile,24,2026-02-10 13:48:44,North,0
TX109855,C30232,M5089,369.23,Visa,Failed,POS,46,04-15-2025,West,0
TX108767,C52600,M4612,684.84,Visa,Reversed,POS,69,23/04/2026,West,0
TX100468,C96752,M5846,689.09,Amex,Completed,Desktop,7,2025-05-02 17:54:03,West,0
TX110309,C60277,M4178,1980.8,Amex,Reversed,ATM,27,20/01/2025,East,1
TX104554,C87304,M4048,NaN,Amex,Completed,Desktop,30,22-Jun-2025,East,0
TX109774,C90301,M6381,172.89,MasterCard,Failed,Desktop,86,08-26-2025,South,0
TX102243,C35928,M8972,1666.63,MasterCard,Reversed,Desktop,23,2025-06-22 06:06:02,East,0
TX110572,C86011,M2929,39.15,MasterCard,Pending,POS,114,2026-02-26,North,0
TX101288,C53404,M4612,1281.67,Discover,Failed,Desktop,114,2025-09-25 19:11:00,South,0
TX102039,C55870,M2388,1583.06,MasterCard,Reversed,POS,61,11/02/2026,North,0
TX109866,C80236,M7081,1322.75,Discover,Failed,POS,79,2025-09-13 23:12:50,East,0
TX111480,C36896,M5703,1143.14,Amex,Failed,POS,61,11-Sep-2025,East,0
TX113502,C17146,M5369,1074.96,Amex,Failed,Desktop,3,15-Mar-2026, East ,0
TX104848,C70910,M5742,1455.36,Amex,Failed,Desktop,28,05-Dec-2025,West,0
TX109549,C34983,M4068,1935.61,Visa,Completed,ATM,58,03-21-2025,North,1
TX102301,C97835,M3473,1394.11,Discover,Completed,Desktop,7,17-Nov-2025,South,0
TX108313,C60277,M7505,121.92,MasterCard,Reversed,POS,57,26-Aug-2025,East,0
TX108735,C35825,M5634,682.06,Visa,Reversed,Desktop,94,2025-03-23 21:33:56,North,0
TX113287,C64524,M7062,1999.41,MasterCard,Reversed,Desktop,110,09-25-2025,East,0
TX106410,C53515,M2259,1699.58,MasterCard,Completed,Desktop,36,10-19-2025,South,0
TX111894,C34983,M8498,717.63,Discover,Reversed,Desktop,115,2026-05-09,East,0
TX112885,C66057,M5843,594.37,Amex,Reversed,ATM,106,2025-05-07,West,0
TX111834,C48974,M2503,175.61,Amex,Completed,ATM,102,19/11/2025,South,0
TX108624,C59968,M6761,518.7,Visa,Failed,POS,19,13/11/2025,East,0
TX112138,C87607,M6375,1074.73,Amex,Failed,Desktop,7,03-27-2026,North,0
TX101362,C77449,M6776,824.85,MasterCard,Pending,POS,66,04-29-2026,East,0
TX102372,C44795,M7116,1143.47,MasterCard,Reversed,Mobile,23,2026-04-11,East,0
TX100179,C71644,M5743,1293.63,MasterCard,Failed,Desktop,28,11-12-2025,East,0
TX100806,C83385,M4770,459.23,Amex,Pending,Desktop,86,05-13-2026,South,0
TX109763,C20527,M2259,1189.1,Visa,Reversed,ATM,81,2026-04-23 01:11:50,West,0
TX109782,C92240,M8325,NaN,Amex,Reversed,POS,30,16/11/2025,East,0
TX112510,C24592,M9363,714.6,Discover,Pending,POS,56,11/02/2025,South,0
