merchant_id,merchant_name,category,mcc_code,country_code,interchange_fee_pct,risk_rating,onboarding_date,payout_settlement_days,is_chargeback_monitored,monthly_volume_est
M7105,Cyber Retail,Financial Services & SaaS,5999,US,0.0239,Moderate,2020-10-24,2,0,1472804.96
M3131,Titan Mart,Travel & Airlines,4511,FR,0.0321,High,2022-10-11,7,0,582583.84
M1982,Global Ventures,Gaming & Virtual Goods,7995,US,0.0305,High,2022-09-11,1,1,1632275.4
M6400,Beacon Cloud,Travel & Airlines,4511,IN,0.0295,High,2020-10-25,1,0,906294.14
M3002,Starlight Store,Crypto & Digital Assets,6051,IN,0.0385,Extreme,2023-06-10,1,1,1509809.58
M7730,Swift Holdings,Gaming & Virtual Goods,7995,DE,0.0312,High,2023-11-13,7,1,1351212.93
M6793,Summit Logistics,Financial Services & SaaS,5999,CA,0.0267,Moderate,2023-10-20,1,0,1629579.61
M7929,Prime Foods,Travel & Airlines,4511,DE,0.0257,High,2021-01-12,7,0,1190602.07
M1842,Global Store,Financial Services & SaaS,5999,GB,0.026,Moderate,2021-09-23,1,0,2030217.57
M5712,Swift Air,Food & Dining,5812,SG,0.0213,Low,2020-02-26,1,0,810699.21
M6119,Hyper Mart,Healthcare & Wellness,8099,AU,0.0151,Low,2020-03-23,7,0,1375849.84
M6761,SilverLine Tech,Healthcare & Wellness,8099,CA,0.0196,Low,2023-04-02,2,0,1611815.13
M2697,Beacon Pay,Crypto & Digital Assets,6051,US,0.0426,Moderate,2021-12-08,2,0,1218097.02
M9313,Global Hub,Grocery & Supermarket,5411,DE,0.018,Low,2021-11-29,3,0,1163094.68
M4485,Zenith Mart,Gaming & Virtual Goods,7995,CA,0.0305,High,2020-10-09,7,0,1863446.98
M3535,Zenith Cloud,Travel & Airlines,4511,AU,0.0257,High,2024-04-14,1,1,1440144.22
M8900,Global Tech,Electronics & Computers,5732,US,0.026,Moderate,2024-08-02,1,0,329174.55
M4674,BlueSky Mart,Travel & Airlines,4511,DE,0.0322,High,2020-11-10,2,1,1206414.62
M2773,Aero Air,Healthcare & Wellness,8099,GB,0.0223,Low,2023-03-16,1,0,1918522.75
M6736,Starlight Retail,E-Commerce & Marketplaces,5311,US,0.0277,Moderate,2023-08-02,7,0,1357615.89
M7022,Pioneer Direct,Healthcare & Wellness,8099,GB,0.0181,High,2022-12-30,2,0,1610745.13
M2882,Cyber Solutions,Electronics & Computers,5732,US,0.0228,Moderate,2024-01-22,2,0,129478.62
M5564,Beacon Cloud,E-Commerce & Marketplaces,5311,SG,0.0276,Moderate,2023-06-29,7,0,2268837.85
M4705,SilverLine Retail,Grocery & Supermarket,5411,FR,0.0134,Extreme,2020-12-06,1,0,1292243.83
M8030,Vertex Logistics,Healthcare & Wellness,8099,SG,0.0179,Low,2023-08-01,3,0,1448619.76
M1430,Beacon Hub,Electronics & Computers,5732,FR,0.0207,Moderate,2022-04-05,2,0,1492721.51
M5381,BlueSky Tech,Grocery & Supermarket,5411,US,0.0199,Low,2020-11-02,3,0,229755.08
M1474,Zenith Mart,E-Commerce & Marketplaces,5311,CA,0.0245,Moderate,2022-10-20,7,0,672857.66
M3955,Pioneer Retail,Electronics & Computers,5732,SG,0.0241,Low,2020-07-11,2,0,280733.52
M5477,Zenith Foods,Food & Dining,5812,CA,0.0197,Moderate,2023-03-26,2,0,1597729.4
M6062,Vanguard Express,Healthcare & Wellness,8099,AU,0.0167,High,2023-09-16,2,0,1161555.67
M6567,Swift Logistics,E-Commerce & Marketplaces,5311,US,0.0225,Moderate,2021-03-06,2,0,198352.84
M6751,Pioneer Retail,Electronics & Computers,5732,IN,0.025,Moderate,2022-05-21,7,0,1966633.63
M1100,Velocity Mart,Crypto & Digital Assets,6051,SG,0.0351,Extreme,2024-02-01,2,0,114523.58
M3972,Aero Retail,Food & Dining,5812,US,0.0223,Low,2020-06-17,2,0,1069965.61
M3347,Swift Ventures,Grocery & Supermarket,5411,US,0.0132,Low,2023-09-16,2,0,1271071.86
M7566,SilverLine Express,Food & Dining,5812,US,0.0179,Low,2022-06-30,2,0,290747.11
M2140,Pioneer Air,Travel & Airlines,4511,US,0.0317,High,2020-11-18,1,0,889787.72
