transaction_id,customer_id,merchant_id,transaction_amount,card_type,transaction_status,device_type,account_age_months,transaction_date,region,is_fraud
TX110686,C82845,M2697,1216.33,Visa,Failed,POS,56,07-06-2025,North,0
TX107170,C85674,M3868,324.99,MasterCard,Reversed,Desktop,112,10/05/2025,East,0
TX108328,C32431,M1461,136.66,Discover,Completed,ATM,68,2025-07-26 06:22:30,East,0
TX108563,C54057,M1713,124.21,Amex,Failed,POS,50,09/06/2025,West,0
TX107002,C95649,M1474,1284.68,MasterCard,Reversed,ATM,96,17/04/2026,East,0
TX113784,C82512,M8601,1263.7,Visa,Completed,Mobile,67,2026-04-08 08:43:17,North,0
TX111945,C23434,M3002,781.65,Amex,Reversed,Mobile,72,08-01-2025,East,0
TX103384,C88301,M1341,363.54,Visa,Completed,Desktop,36,2026-04-23 05:41:31,South,0
TX107177,C83385,M7626,679.9,Visa,Failed,Desktop,65,2025-07-01,East,0
TX112677,C41635,M7397,559.94,MasterCard,Pending,Mobile,18,06/01/2026,North,0
TX102947,C44814,M8381,567.7,MasterCard,Pending,POS,54,03-10-2025,West,0
TX110960,C20589,M2965,1805.16,Visa,Completed,ATM,109,01/04/2025,South,1
TX108001,C25014,M4918,609.83,Discover,Completed,POS,3,06-08-2025,South,0
TX101965,C20328,M8873,913.71,Amex,Completed,Desktop,110,2026-03-08 07:12:49,South,0
TX102802,C73699,M9363,,Visa,Failed,Mobile,100,2025-07-31,North,0
TX100974,C41830,M8167,927.5,Discover,Failed,Mobile,91,08/05/2025,North,1
TX104091,C95909,M6482,1662.31,MasterCard,Completed,POS,62,05-May-2025,West,0
TX100046,C52247,M7878,18.19,Discover,Completed,Mobile,67,01-05-2026,south,0
TX106066,C34050,M6119,816.39,Amex,Pending,Mobile,74,2025-10-19,West,0
TX104105,C84085,M2531,354.7,Amex,Reversed,Desktop,1,2026-01-13,North,0
TX112671,C87924,M6267,900.87,MasterCard,Pending,Mobile,4,2025-04-03,West,0
TX114590,C67733,M7929,1145.08,Visa,Reversed,Desktop,87,2025-10-04 22:54:56,South,0
TX103119,C51104,M1627,765.36,Discover,Completed,ATM,88,05-Apr-2025,South,0
TX107532,C40539,M3986,1660.53,MasterCard,Pending,POS,50,2025-03-26 11:11:43,East,0
TX109898,C52081,M8432,783.45,MasterCard,Completed,Mobile,113,2025-07-16,West,0
TX105474,C49210,M1126,1893.8,Amex,Pending,Mobile,18,2025-09-03,North,1
TX112884,C50538,M8179,249.35,Discover,Failed,ATM,33,03-26-2025,East,0
TX107584,C77271,M1530,1304.48,MasterCard,Failed,ATM,69,15-May-2025,North,0
TX104983,C52840,M7018,1253.8,Amex,Failed,Desktop,119,11-28-2025,South,0
TX107030,C14117,M2816,1353.11,Discover,Completed,Mobile,1,22/11/2025,East,0
TX104600,C21226,M9618,819.05,Amex,Completed,Desktop,2,2026-03-08,South,0
TX111430,C96752,M5476,1944.85,MasterCard,Pending,POS,84,08-25-2025,West,1
TX113810,C88907,M1982,1236.71,Discover,Reversed,ATM,70,14/03/2026,North,0
TX108481,C51145,M9507,51.76,MasterCard,Pending,Mobile,52,2025-10-17 10:06:48,South,0
TX105077,C80701,M6736,701.84,Amex,Completed,ATM,28,31-May-2025,South,0
TX106910,C26299,M2868,1869.2,Amex,Completed,Desktop,111,28-Oct-2025,West,0
TX113018,C44600,M8311,1556.74,Amex,Reversed,POS,95,20-Jan-2026,South,0
TX106378,C60205,M8277,1453.52,Discover,Pending,Mobile,27,2025-10-26 03:44:18,South,0
TX100569,C40828,M3414,1394.96,Discover,Pending,ATM,109,04-23-2025,South,0
TX108217,C35443,M1530,320.62,Visa,Failed,POS,99,2026-03-25,South,0
TX113327,C37802,M1713,1593.81,Amex,Failed,Mobile,29,28-Jul-2025,East,1
TX113245,C15014,M1641,507.13,Visa,Failed,Mobile,114,05-11-2025,West,0
TX109758,C46471,M1605,726.09,Visa,Failed,ATM,96,05-09-2025,South,0
TX112404,C80702,M6933,895.09,Amex,Completed,POS,53,17/01/2026,South,0
